ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
SWAJ_R4_8	148110	93720	93215	93379	90662	73677
SWAJ_R4_9	258265	200265	198897	199305	191116	134158
SWAJ_R4_10	141664	114348	113608	113690	109496	75020
SWAJ_R4_11	135772	112907	112376	112314	108373	91062
SWAJ_R4_13	88352	73549	72795	72852	69734	55144
SWAJ_R4_14	156544	128416	127810	127900	123590	95720
SWAJ_R4_15	177637	144927	143519	143506	133779	81969
SWAJ_R4_17	71134	60417	59659	59686	55371	42706
SWAJ_R4_18	112962	90151	89415	89394	85599	65811
SWAJ_R4_19	135641	113537	112678	112209	105561	66616
SWAJ_R4_20	129579	106737	104939	105025	97718	64720
SWAJ_R4_21	151579	120622	119115	119136	111945	87316
SWAJ_R4_23	201514	161058	159687	159766	152488	108544
SWAJ_R4_24	311586	261985	258792	259347	240762	167638
SWAJ_R4_25	309896	264522	262582	262888	250693	182940
SWAJ_R4_26	223979	189240	188040	187960	179081	127155
SWAJ_R4_27	178273	153191	152088	152117	145387	103871
SWAJ_R4_30	195974	164921	164347	164271	159525	122929
SYAN_R1_1	210785	169470	168468	168699	163567	134217
SYAN_R1_2	181093	153287	152106	151948	143387	86665
SYAN_R1_3	219861	184458	183716	183658	178660	140668
SYAN_R1_5	206126	173749	172743	172774	166233	125344
SYAN_R1_6	219202	180707	179363	179259	170480	106106
SYAN_R1_7	225387	185748	184860	184802	179108	131407
SYAN_R1_29	270374	28090	28036	27827	27756	24134
SYAN_R1_9	53591	43849	43233	43341	40537	35369
SYAN_R1_10	167088	138463	136187	136605	123537	68420
SYAN_R1_11	164368	140553	139517	139525	132872	101116
SYAN_R1_12	150784	128898	126536	126895	116884	89375
SYAN_R1_13	185840	156501	153959	154308	142931	102286
SYAN_R1_14	190456	157256	154201	155345	140737	101790
SYAN_R1_15	134469	115381	114145	114327	106832	84147
SYAN_R1_16	182958	152438	150622	151058	141152	95543
SYAN_R1_30	136045	114965	113242	113431	105869	81780
SYAN_R1_18	151072	127128	126012	125770	119588	82849
SYAN_R1_19	169607	137011	135123	135555	126798	88552
SYAN_R1_20	176312	148749	147033	147589	138962	111284
SYAN_R1_21	219592	185992	183890	183966	172905	123473
SYAN_R1_22	184471	153499	151471	151507	140656	82843
SYAN_R1_23	207017	172878	171580	171772	163354	117254
SYAN_R1_24	129309	109324	108544	108534	103746	70801
SYAN_R1_25	228252	191761	190553	190344	183396	131601
SYAN_R1_26	263708	215364	212835	213012	200743	148767
SYAN_R3_1	168759	138793	138369	138284	134932	106049
SYAN_R3_2	218300	180975	179237	178803	168962	119439
SYAN_R3_3	189565	155977	155085	155115	149937	118240
SYAN_R3_4	224393	193220	192113	192189	185614	151970
SYAN_R3_6	196037	159677	159357	159383	154746	126904
SYAN_R3_7	192906	160262	159235	159136	153755	112399
SYAN_R3_8	198677	157246	155685	156010	149555	108058
SYAN_R3_9	193383	163959	162234	162504	151489	111034
SYAN_R3_10	134121	115689	115035	114977	111015	84924
SYAN_R3_11	109403	91738	90836	91120	87236	63941
SYAN_R3_12	119360	101819	101428	101427	98965	81485
SYAN_R3_13	203004	170841	168401	169586	156528	124881
SYAN_R3_14	155878	128950	128327	128468	124361	90635
SYAN_R3_15	192212	161115	160179	160298	154159	122155
SYAN_R3_16	166207	136098	134579	134877	127180	76410
SYAN_R3_17	192048	159966	158796	158895	155315	68876
SYAN_R3_18	133607	106552	106049	106034	100893	85230
SYAN_R3_19	182662	148145	146417	146839	140413	92573
SYAN_R3_20	226683	118304	117437	117509	114950	100075
SYAN_R3_21	132272	112588	111898	111963	108588	76625
SYAN_R3_22	151147	123556	123278	122894	120741	75982
SYAN_R3_23	199628	168620	167758	167758	161925	129194
SYAN_R3_24	132337	112065	111362	111536	107422	80172
SYAN_R3_25	166587	141677	140678	140697	134546	99482
SYAN_R3_26	145844	125130	124393	124382	119405	82053
SYAN_R4_1	168066	139805	139427	139584	137665	98394
SYAN_R4_2	178000	152234	151856	151926	149003	118852
SYAN_R4_3	151924	117402	117012	116848	115105	73520
SYAN_R4_4	162336	136355	136017	135952	133480	113460
SYAN_R4_5	165738	133076	132269	132512	129653	101885
SYAN_R4_6	209927	143599	142829	143033	139276	114019
SYAN_R4_7	172644	139679	138989	138975	136544	109383
SYAN_R4_8	177769	147849	146568	146625	140424	106170
SYAN_R4_9	169212	143331	142063	142066	135279	109766
SYAN_R4_10	192328	158383	158033	157931	155105	120705
SYAN_R4_11	202662	161862	161177	161369	155167	118581
SYAN_R4_12	136319	113820	113328	113399	110839	93908
SYAN_R4_13	220322	182577	181877	181842	176830	142243
SYAN_R4_14	163216	133066	132051	131955	125641	106175
SYAN_R4_15	177855	150724	150079	149795	144023	105720
SYAN_R4_16	174031	143299	142767	142597	137977	106060
SYAN_R4_17	210024	165385	164864	164714	160504	123789
SYAN_R4_18	291948	242321	241642	241705	234214	204133
SYAN_R4_19	186707	155973	155114	155106	148970	115264
SYAN_R4_20	221039	177333	176543	176360	168453	120171
SYAN_R4_21	142172	117416	117129	117081	109646	86317
SYAN_R4_22	251723	211404	210634	210187	203332	149185
SYAN_R4_23	210146	175008	174441	174518	170021	120487
SYAN_R4_24	181522	154636	153604	153511	146192	88421
SYAN_R4_25	164268	141731	141259	141189	137701	98518
SKAU_R1_1	185193	158207	157130	157326	150942	107179
SKAU_R1_2	217611	180968	180031	179954	172355	136894
SKAU_R1_3	181553	151982	150983	150754	137614	101387
SKAU_R1_4	223618	178484	176431	176381	165794	108179
SKAU_R1_5	191022	153111	151915	151738	143168	96372
SKAU_R1_6	182925	152368	147861	148740	131951	103874
SKAU_R1_7	124978	99705	98667	98842	92696	70892
SKAU_R1_8	178041	144600	143917	144033	140420	87157
SKAU_R1_9	237080	196278	195142	195234	187964	109064
SKAU_R1_10	225428	193928	192082	192141	180453	139958
SKAU_R1_12	234048	199606	198386	198464	190078	145682
SKAU_R1_14	191838	162462	160929	160873	153430	107717
SKAU_R1_15	206360	173218	172505	172258	165816	108790
SKAU_R1_16	185515	157753	156265	156303	148816	116220
