ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
PMAQ_R2_16	254603	219833	218412	218419	212169	143348
PMAQ_R2_18	184346	162638	162165	162179	159258	139573
PMAQ_R2_19	191359	163438	162984	162866	159324	131587
PMAQ_R2_20	132399	116208	115475	115481	112558	92287
PMAQ_R2_21	278739	242438	241292	241108	235112	164165
PMAQ_R2_22	263555	234982	234280	234217	230508	181912
PMAQ_R2_25	122611	108804	108139	108306	105280	89254
PMAQ_R2_27	72464	66129	65652	65529	63426	43921
PMAQ_R2_28	66846	60821	60354	60349	58540	48480
PMAQ_R2_29	37154	33939	33624	33648	32542	22708
PMAQ_R2_32	29979	27308	27020	26966	26127	21242
PMAQ_R2_35	44491	41288	40859	40875	39841	31805
PMAQ_R2_38	21671	20258	20033	20040	19621	16655
PWAJ_R1_1	79474	70182	63895	66244	43202	25330
PWAJ_R1_3	69338	63061	62370	62261	50388	38995
PWAJ_R1_4	77204	70480	69546	69675	66061	53398
PWAJ_R1_6	100219	92500	91715	91762	86055	72664
PWAJ_R1_7	73173	67756	66777	66681	62360	50479
PWAJ_R1_8	148906	130687	129662	129716	124907	87521
PWAJ_R1_10	74980	68738	67778	67595	63759	50818
PWAJ_R1_14	86849	78407	77000	77140	64804	47686
PWAJ_R1_16	86795	79845	79265	79211	76967	64759
PWAJ_R1_17	63566	58416	57648	57727	55248	47507
PWAJ_R1_19	116781	105825	103929	104028	93698	64705
PWAJ_R1_20	80832	72904	72023	71856	66806	50715
PWAJ_R1_22	82289	74070	73338	73314	69794	59041
PWAJ_R1_24	100355	90873	90086	90060	85508	68822
PWAJ_R1_26	87293	79633	78364	78332	72492	59944
PWAJ_R1_27	199480	183058	182116	181943	177442	150369
PWAJ_R1_28	533488	489145	487317	487421	474414	399649
PWAJ_R1_29	164243	145953	144624	144788	137947	107292
PWAJ_R1_30	137940	124378	123304	123415	112718	91004
PWAJ_R1_31	260157	229628	227430	227442	207489	162408
PWAJ_R1_33	121673	107000	105498	105377	98632	66016
PWAJ_R1_35	140424	125264	124244	124297	114165	85487
PWAJ_R1_37	93591	83551	82571	82455	78697	62383
PWAJ_R1_38	181079	160605	159095	158988	152249	99113
PWAJ_R1_39	161160	141499	140132	139727	133610	83102
PWAJ_R2_1	268285	212691	211695	211794	203559	160182
PWAJ_R2_2	341818	307923	306427	306449	298123	231438
PWAJ_R2_3	153191	137131	136309	136225	132434	95779
PWAJ_R2_4	210444	188967	188056	188011	182934	134811
PWAJ_R2_5	222866	200209	198341	198343	187257	128417
PWAJ_R2_7	153456	137901	136994	136877	131146	96878
PWAJ_R2_8	141410	127287	126512	126658	122356	84705
PWAJ_R2_9	120550	110372	109695	109451	106464	78202
PWAJ_R2_10	114961	104514	103583	103474	99400	79966
PWAJ_R2_11	234120	209953	207761	207762	195378	118671
PWAJ_R2_12	264652	243741	242769	242887	237916	195429
PWAJ_R2_13	119878	105908	104714	104717	99241	76681
PWAJ_R2_14	190288	174355	173339	173305	167406	139486
PWAJ_R2_15	225179	205093	203627	203463	197169	144373
PWAJ_R2_16	138917	128166	127246	127266	123184	103858
PWAJ_R2_17	103289	92854	91832	91993	87600	56807
PWAJ_R2_18	199898	180675	178713	178825	168858	127699
PWAJ_R2_19	134605	123679	122506	122384	117404	92328
PWAJ_R2_24	342838	316545	315627	315821	306791	254729
PWAJ_R2_25	222354	204420	202741	202764	192504	142037
PWAJ_R2_26	134914	113371	112621	112507	108021	87256
PWAJ_R2_27	170041	155656	155006	154952	151425	118857
PWAJ_R2_28	254751	237167	236449	236321	231565	193860
PWAJ_R2_29	198301	179781	178469	178329	171826	139664
PWAJ_R2_30	222604	204432	203310	203183	197194	167546
PWAJ_R3_1	414512	347709	346550	346379	338795	236527
PWAJ_R3_2	233402	213312	211994	211859	204745	143711
PWAJ_R3_3	219855	198107	197308	197210	188889	145350
PWAJ_R3_4	175319	154412	152938	153266	147657	115125
PWAJ_R3_6	141728	128594	128167	128042	125745	106921
PWAJ_R3_8	264057	243502	242534	242166	236263	181771
PWAJ_R3_9	132296	121860	121161	121016	118347	68125
PWAJ_R3_10	114425	105684	105069	105239	103363	75328
PWAJ_R3_11	221308	185968	185068	185159	179182	131894
PWAJ_R3_13	239145	216361	215066	215020	206041	152191
PWAJ_R3_17	407640	368120	366352	367011	359636	248235
PWAJ_R3_18	174349	159073	158188	158317	153754	129428
PWAJ_R3_21	168641	154517	153675	153270	148360	113950
PWAJ_R3_22	180661	164587	163634	163218	157922	118906
PWAJ_R3_23	182521	163301	162216	162072	152435	108788
PWAJ_R3_25	382094	347209	345524	345721	335478	260221
PWAJ_R3_27	160315	149662	148924	149008	146117	122356
PWAJ_R3_28	186767	172971	172063	171754	166510	127511
PWAJ_R3_29	200667	180505	179172	179268	172874	106539
PWAJ_R3_30	200152	176447	175447	175258	168558	120491
PYAN_R1_1	299588	274865	273858	273780	256546	205468
PYAN_R1_2	162904	150382	149193	149164	142815	113052
PYAN_R1_3	358866	290548	289329	289242	278995	208603
PYAN_R1_6	258133	237907	236896	236977	229104	188064
PYAN_R1_7	196617	180157	179211	179123	173444	142027
PYAN_R1_8	166882	154329	153753	153681	149166	118323
PYAN_R1_9	106969	99829	99134	99057	95764	79766
PYAN_R1_10	249031	223146	221942	221941	214630	170775
PYAN_R1_11	105238	95910	95416	95271	92941	79120
PYAN_R1_12	110950	99134	98592	98678	95513	70222
PYAN_R1_13	113399	101872	101023	101135	96370	77954
PYAN_R1_14	294859	261028	259756	259609	237603	178056
PYAN_R1_17	177810	160741	160040	160041	153427	125973
PYAN_R1_18	212623	195162	194387	194364	188610	150097
PYAN_R1_19	185646	166530	165527	165388	158898	113245
PYAN_R1_22	97075	88171	87583	87652	84922	70689
PYAN_R1_23	103920	91327	90695	90656	86986	64708
PYAN_R1_25	116575	104837	103722	103990	98672	80826
PYAN_R1_26	180720	160503	159478	159632	154994	121204
PYAN_R1_27	477113	418128	416344	416314	401330	322501
PYAN_R1_29	123045	107928	107231	107055	103671	77428
PYAN_R1_30	97485	85469	84381	84575	78963	65052
PYAN_R3_1	160727	144501	143528	143527	138184	105466
PYAN_R3_2	188998	166712	166036	165963	162689	117203
PYAN_R3_3	159377	144833	144274	144143	141296	117660
PYAN_R3_5	97441	88424	88091	87989	86732	75398
PYAN_R3_6	101401	91127	90451	90459	88138	74782
PYAN_R3_7	141502	124121	123392	123202	119266	84418
PYAN_R3_8	94349	84093	83573	83510	77999	57199
PYAN_R3_9	88617	80773	80300	80282	78223	61415
PYAN_R3_10	136405	121513	120536	120424	116201	82767
PYAN_R3_11	200930	171990	170643	170932	165213	140942
PYAN_R3_13	140005	124640	124305	124142	121447	102506
PYAN_R3_15	117255	103384	102754	102739	99824	82564
PYAN_R3_16	108963	100027	99517	99310	96937	82741
PYAN_R3_17	108629	98866	98096	98123	95236	73064
PYAN_R3_19	171688	154214	153586	153720	150381	115380
PYAN_R3_21	116483	107852	107472	107408	106120	89382
PYAN_R3_23	115850	106551	105750	105751	103149	82719
PYAN_R3_27	85020	72904	72022	72125	68008	49763
PYAN_R3_29	83823	75065	74041	74029	70782	56525
PYAN_R3_30	100563	91712	91105	91116	87910	64060
PKAU_R1_1	125996	111429	109717	110075	102335	82149
PKAU_R1_2	212103	184017	182305	182547	173982	130433
PKAU_R1_4	231385	206942	204664	205162	196124	111404
PKAU_R1_7	166809	145699	143755	143959	133369	85147
PKAU_R1_8	146013	132036	130199	130235	121134	79513
PKAU_R1_10	197602	169613	167305	167681	156725	99605
PKAU_R1_11	163288	148426	147386	147328	138112	107692
PKAU_R1_40	139075	125938	124318	124299	111284	87228
PKAU_R1_14	312843	277500	275613	275846	266808	192440
PKAU_R1_16	438878	393206	389280	389788	371351	246854
PKAU_R1_17	127105	116578	114884	115213	108429	82629
PKAU_R1_19	250849	222833	220351	220778	207295	142200
PKAU_R1_20	144878	128757	127075	126822	119436	86163
PKAU_R1_22	193477	175830	175645	175513	172422	159107
PKAU_R1_23	184962	165818	164101	164129	156086	112554
PKAU_R1_25	161626	142122	140156	140534	132051	95741
PKAU_R1_26	206290	184736	183955	183842	179526	136181
PKAU_R1_28	364798	324258	322638	322350	314137	226359
PKAU_R1_29	210729	188479	186259	186462	176593	143248
PKAU_R1_31	250878	224628	223311	223094	216254	170224
PKAU_R1_32	125632	114334	113349	113256	108727	88416
PKAU_R1_34	245722	215670	214136	213898	205966	157251
PKAU_R1_35	277661	246346	244171	244019	231237	138967
PKAU_R1_37	175430	158877	157414	157452	149321	113479
PKAU_R1_38	34219	1223	1141	1134	1068	1018
PKAU_R2_1	241822	221496	220381	220832	216193	165752
PKAU_R2_2	129951	118358	117472	117494	112440	71138
PKAU_R2_3	109730	100281	99694	99598	95590	60821
PKAU_R2_5	117056	107743	106977	106852	102423	63957
PKAU_R2_6	197087	180679	179673	179614	173051	104152
PKAU_R2_7	185724	170573	169540	169714	163659	96210
PKAU_R2_9	136705	124999	123147	123541	114780	74526
PKAU_R2_10	194660	180261	179323	179333	173083	114530
PKAU_R2_11	146158	134574	134380	134265	132759	98571
PKAU_R2_13	149436	136252	134931	135102	129631	86804
PKAU_R2_14	180526	165742	164617	164568	159071	112402
PKAU_R2_15	157207	143131	141694	142066	134946	92813
PKAU_R2_17	152069	138915	137436	137691	130578	90545
PKAU_R2_18	224671	206392	205420	205253	198432	128722
PKAU_R2_19	238990	217316	216207	216172	207733	139053
PKAU_R2_21	282469	247817	246345	246257	238688	176330
PKAU_R2_22	224152	205997	204880	204848	196704	124157
PKAU_R2_23	290931	269117	267809	267762	259457	189567
PKAU_R2_25	189990	174009	172895	172933	165553	113092
PKAU_R2_26	248396	230042	228822	228636	220310	136278
PKAU_R2_27	253450	233651	232650	232784	226149	151837
PKAU_R2_29	238645	221362	220336	220368	213197	142137
PKAU_R2_30	165416	151854	150785	150752	143908	98540
PKAU_R2_31	181115	163912	162195	162574	152938	92302
PKAU_R3_1	211319	188882	186607	187051	175720	129488
PKAU_R2_33	223005	202128	201246	201266	194436	131124
PKAU_R3_2	172328	149857	147750	147939	136952	94500
PKAU_R3_3	331229	297076	294616	294327	279885	174962
PKAU_R3_4	324466	288946	285945	285662	269642	191686
PKAU_R3_5	330779	293491	291238	291569	280831	213261
PKAU_R3_6	163382	148618	147604	147317	143503	114176
PKAU_R3_7	194250	175689	174095	173951	165701	123659
PKAU_R3_9	200226	173782	171794	171732	163080	114367
PKAU_R3_10	197423	174637	171004	171658	154931	88734
PKAU_R3_11	146688	127673	125459	125600	114880	73811
PKAU_R3_12	145871	128324	125560	125784	114728	80889
PKAU_R3_13	271941	243090	241526	241712	233462	176348
PKAU_R3_14	109189	99500	98793	98838	95328	76885
PKAU_R3_15	173722	154356	152029	152482	139295	94343
PKAU_R3_17	170737	154083	152894	153095	146763	102923
PKAU_R3_18	216145	196613	194207	194250	180193	120737
PKAU_R3_19	73894	66814	65798	65829	62144	45704
PKAU_R3_20	142465	123224	121934	122071	116003	80620
PKAU_R3_21	177867	157901	154669	155685	139449	74934
PKAU_R3_22	147025	133634	131596	131682	122318	86238
PKAU_R3_23	117216	104638	102520	102757	92707	57016
PKAU_R3_25	126992	111547	108553	109350	96965	56468
PKAU_R3_26	174889	154632	150154	151129	132008	81555
PKAU_R3_27	255638	197793	195122	195684	182437	136628
PKAU_R3_28	246008	206730	204451	204580	189144	133092
PDOG_R1_1	298109	242374	241047	241220	229278	186791
PDOG_R1_2	248819	215875	214127	214583	203195	158184
PDOG_R1_5	274799	236493	235135	235076	225150	167949
PDOG_R1_6	235109	202818	201639	201560	193471	145762
PDOG_R1_7	223639	190806	188688	189152	177444	127627
PDOG_R1_8	213660	183601	181276	181911	167940	129578
PDOG_R1_9	220790	190130	188206	188383	177546	127026
PDOG_R1_12	185686	152579	148682	149679	121540	64984
PDOG_R1_13	194247	163321	160787	161468	148232	115297
PDOG_R1_14	212184	183442	181815	182244	173599	141131
PDOG_R1_16	275945	212888	210956	211352	199561	164187
PDOG_R1_18	269322	228441	227204	227354	218337	164600
PDOG_R1_19	317749	259846	254756	256625	223254	164075
PDOG_R1_20	174228	150029	148607	148810	140290	102124
PDOG_R1_21	248763	214169	212167	212317	199239	152883
PDOG_R1_22	282182	246717	245211	245356	235184	186731
PDOG_R1_23	268119	227720	223354	224693	195557	122330
PDOG_R1_24	257310	220815	219305	219253	204924	144830
PDOG_R1_27	254075	218172	214503	215730	195855	137719
PDOG_R1_28	240736	205734	204444	204680	194634	157469
PDOG_R1_29	204957	171277	168481	169241	152002	108178
PDOG_R1_30	236967	165504	163443	163702	152035	114702
PDOG_R2_1	283438	237396	235535	235772	220748	185462
PDOG_R2_2	238271	191627	188506	189607	173302	133132
PDOG_R2_3	286278	227961	224952	225874	202773	146201
PDOG_R2_5	242593	198521	195311	196151	179647	133054
PDOG_R2_6	318842	252254	248324	248837	222323	113990
PDOG_R2_8	227305	188037	184925	185542	163760	103035
PDOG_R2_9	252144	207856	205269	206242	189542	125327
PDOG_R2_10	206151	166182	164722	164783	155566	101143
PDOG_R2_11	219544	177563	174300	175533	155962	105091
PDOG_R2_12	209167	167515	165388	165962	153481	105109
PDOG_R2_15	235029	189772	186392	187392	163050	109780
PDOG_R2_17	253967	205553	202099	202547	180998	107838
PDOG_R2_19	233353	183281	180752	181770	168662	121499
PDOG_R2_20	253685	199463	196861	197606	177890	114305
PDOG_R2_21	252916	195658	193422	194048	172315	111294
PDOG_R2_22	226398	185640	182361	183379	163577	97374
PDOG_R2_23	253008	213106	209236	210385	184258	119973
PDOG_R2_24	210202	173767	171345	171962	157905	94341
PDOG_R2_25	174924	147330	144678	145277	128198	76819
PDOG_R2_26	157078	133110	131966	131999	125339	91269
PDOG_R2_27	227358	171651	167686	168953	142619	80466
PDOG_R3_1	196166	153290	151040	151692	140743	106870
PDOG_R3_5	235226	191865	190036	190743	181013	137105
PDOG_R3_6	203083	168063	165629	166067	154147	117831
PDOG_R3_7	253876	212846	209873	210657	192834	158749
PDOG_R3_8	246305	203118	201803	202254	191545	154491
PDOG_R3_9	278485	219564	218373	218629	206860	172066
PDOG_R3_10	193027	161516	159984	160242	150824	112809
PDOG_R3_11	240260	202627	200915	201045	188942	138915
PDOG_R3_12	270954	227778	226319	226568	216182	161532
PDOG_R3_14	184171	156788	154995	155168	144704	105471
PDOG_R3_16	191036	159828	158169	158290	148574	109443
PDOG_R3_18	185167	157102	155967	155699	146922	110627
PDOG_R3_19	246682	209759	208333	208460	198628	147330
PDOG_R3_20	266447	216242	214178	214638	198571	143949
PDOG_R3_21	266860	221306	217754	218785	198915	131778
PDOG_R3_24	223142	183558	181931	182414	171823	127270
PDOG_R3_26	194444	161156	158414	159066	144560	103577
PDOG_R3_27	270038	216025	214555	214422	201901	151164
PDOG_R3_28	194192	167559	165680	165975	152479	110822
PDOG_R3_29	253084	217961	215737	216074	197246	118382
PDOG_R3_30	246579	207814	205553	206196	192739	147037
PFAR_R3_1	212356	181031	179410	179679	171114	131199
PFAR_R3_2	194075	163701	162529	162347	154979	103890
PFAR_R3_3	212339	169653	167314	167706	155179	100314
PFAR_R3_4	270169	217089	212876	213567	194572	107843
PFAR_R3_8	290363	232834	230052	230477	211414	139120
PFAR_R3_9	238608	193953	189674	191238	171655	129198
PFAR_R3_10	232128	191800	190513	191231	176709	124704
PFAR_R3_12	225445	176464	174324	174427	158180	93622
PFAR_R3_14	214879	172178	170066	170651	157766	109712
PFAR_R3_15	205677	173412	171167	171632	161723	113264
PFAR_R3_16	233906	194934	192844	192700	181388	116096
PFAR_R3_17	232869	193396	191094	191723	181285	123014
PFAR_R3_18	215202	183384	181237	181628	169480	122135
PFAR_R3_19	172646	142006	140082	140091	130855	89396
PFAR_R3_20	253234	213023	210868	211616	197833	135542
PFAR_R3_21	244590	203912	200551	201502	180516	104670
PFAR_R3_22	277968	231303	227933	228629	209180	133458
PFAR_R3_23	238708	205166	203079	203260	187347	125730
PFAR_R3_24	267952	216017	213182	213995	198620	160407
PFAR_R3_25	262549	212279	210168	210379	198529	125097
PFAR_R3_26	274135	209719	207092	207048	188919	126508
PFAR_R3_27	191469	163623	161444	161647	152329	106570
PFAR_R3_28	308628	243734	241150	241605	228127	167231
PFAR_R3_29	261588	214487	206656	208753	167459	95008
PFAR_R3_30	275307	235668	233982	234119	223336	165616
PFAR_R3_05	233287	179672	178032	178399	167883	127052
Neg1	404602	210750	210373	210419	205329	180478
Neg2	421908	6184	6119	6123	5856	5816
