INDIVIDUALS,STRATA
SDOG-R3-18,CL4
SDOG-R3-3,CL4
SDOG-R3-8,CL1
SDOG-R3-14,CL1
SDOG-R3-16,CL1
SDOG-R3-20,CL1
SFAR-R1-2,CL1
SFAR-R1-4,CL1
SFAR-R1-5,CL1
SFAR-R1-9,CL1
SFAR-R1-10,CL1
SFAR-R1-15,CL1
SFAR-R1-16,CL1
SFAR-R1-18,CL1
SFAR-R1-19,CL1
SFAR-R1-20,CL1
SFAR-R1-24,CL1
SFAR-R1-25,CL1
SFAR-R1-17,CL1
SFAR-R1-3,CL3
SFAR-R1-7,CL3
SFAR-R1-14,CL3
SFAR-R1-29,CL3
SFAR-R1-8,CL5
SFAR-R1-28,CL5
SFAR-R1-23,CL5
SFAR-R1-1,CL4
SFAR-R1-6,CL4
SFAR-R1-11,CL4
SFAR-R2-1,CL5
SFAR-R2-5,CL5
SFAR-R2-10,CL5
SFAR-R2-12,CL5
SFAR-R2-16,CL5
SFAR-R2-23,CL5
SFAR-R2-26,CL5
SFAR-R2-2,CL3
SFAR-R2-27,CL3
SFAR-R2-7,CL3
SFAR-R2-14,CL3
SFAR-R2-15,CL3
SFAR-R2-20,CL3
SFAR-R2-25,CL3
SFAR-R2-13,CL4
SFAR-R2-17,CL4
SFAR-R2-18,CL4
SFAR-R2-21,CL4
SFAR-R2-3,CL1
SFAR-R3-1,CL1
SFAR-R3-5,CL1
SFAR-R3-10,CL1
SFAR-R3-15,CL1
SFAR-R3-17,CL1
SFAR-R3-2,CL1
SFAR-R3-8,CL5
SFAR-R3-3,CL3
SFAR-R3-6,CL3
SFAR-R3-11,CL3
SFAR-R3-13,CL3
SFAR-R3-14,CL3
SFAR-R3-18,CL3
SFAR-R3-9,CL5
SFAR-R3-16,CL5
SFAR-R3-20,CL5
SFAR-R3-21,CL5
SFAR-R3-12,CL4
SFAR-R4-1,CL3
SFAR-R4-5,CL3
SFAR-R4-10,CL3
SFAR-R4-11,CL3
SFAR-R4-28,CL3
SFAR-R4-26,CL3
SFAR-R4-14,CL3
SFAR-R4-15,CL3
SFAR-R4-16,CL3
SFAR-R4-21,CL3
SFAR-R4-23,CL3
SFAR-R4-2,CL3
SFAR-R4-3,CL4
SFAR-R4-9,CL4
SFAR-R4-20,CL4
SFAR-R4-22,CL4
SFAR-R4-24,CL4
SFAR-R4-30,CL4
SFAR-R4-4,CL1
SFAR-R4-6,CL1
SFAR-R4-17,CL1
SFAR-R4-18,CL1
SFAR-R4-7,CL5
SFAR-R4-8,CL5
SFAR-R4-25,CL5
